name,price,promo_price,promo_start,promo_final,image,description
Smartphone Motorola Moto G84 5G 256GB,1799.0,1528.97,2026-05-28,2026-06-10,"https://loremflickr.com/500/500/motorola,smartphone?lock=0","O Motorola Moto G84 5G oferece fotos ultra nítidas com câmera de 50 MP e estabilização óptica, tela pOLED premium de 6,5 polegadas e super performance com 256GB de memória interna."
Smartphone Samsung Galaxy S24 Ultra 512GB 5G,7499.0,6373.97,2026-05-28,2026-06-10,"https://loremflickr.com/500/500/samsung,phone?lock=1","Descubra a Inteligência Artificial no seu bolso com o Galaxy S24 Ultra. Tela incrível de 6.8 polegadas, câmera quádrupla de 200MP, S Pen integrada e o processador mais potente da atualidade."
Smartphone Apple iPhone 15 Pro Max 256GB,8899.0,,,,https://loremflickr.com/500/500/iphone?lock=2,"O primeiro iPhone com design em titânio aeroespacial. Chip A17 Pro inovador, câmera principal de 48 MP com zoom óptico potente e o inovador botão de Ação personalizável."
Smartphone Xiaomi Redmi Note 13 Pro 256GB 8GB RAM,1999.0,,,,"https://loremflickr.com/500/500/xiaomi,phone?lock=3","Alta performance e bateria de longa duração. O Redmi Note 13 Pro conta com sistema de câmeras de 200MP, tela AMOLED de 120Hz e carregamento turbo ultrarrápido."
Carregador Portátil Power Bank Anker 20000mAh,249.9,211.97,2026-05-28,2026-06-10,https://loremflickr.com/500/500/powerbank?lock=4,Carregue seus dispositivos em qualquer lugar com segurança máxima. Bateria externa de alta capacidade de 20.000mAh com portas USB-C inteligentes e carregamento rápido.
Fone de Ouvido Bluetooth JBL Tune 520BT Preto,299.0,,,,https://loremflickr.com/500/500/headphones?lock=5,O headphone sem fio JBL Tune 520BT oferece o potente som JBL Pure Bass com autonomia de bateria incrível de até 57 horas e carregamento rápido em apenas 2 horas.
Película de Vidro 3D e Capinha Anti-impacto Transparente,49.9,,,,https://loremflickr.com/500/500/phonecase?lock=6,Kit de proteção essencial para o seu celular. Acompanha película de vidro temperado 3D de cobertura total e capa de silicone flexível transparente com bordas reforçadas anti-impacto.
Smart TV LED 50 polegadas 4K LG UHD ThinQ AI,2499.0,2123.97,2026-05-28,2026-06-10,"https://loremflickr.com/500/500/smarttv,television?lock=7","Assista aos seus filmes e séries favoritos em resolução 4K real. Recursos inteligentes de IA com LG ThinQ, compatibilidade com Alexa e Google Assistente e cores muito mais vivas."
Smart TV LED 32 polegadas HD TCL Android TV,1199.0,,,,"https://loremflickr.com/500/500/tv,television?lock=8","Aproveite a melhor experiência em streaming com o sistema Android TV oficial. Acesso direto a Netflix, YouTube e Prime Video com controle por comando de voz integrado."
Soundbar JBL Cinema SB190 380W Dolby Atmos,1699.0,,,,"https://loremflickr.com/500/500/soundbar,speaker?lock=9","Sinta o som de cinema na sua sala. Soundbar com subwoofer sem fio de 380W de potência, conexão HDMI e tecnologia Dolby Atmos para máxima imersão em filmes e jogos."
