name,price,promo_price,promo_start,promo_final,image,description
Creme Dental Hortelã Closeup Triple 70g,3.99,,,,https://americanas.vtexassets.com/arquivos/ids/435928/10673796_1SZ.jpg?v=638750823344230000,Creme Dental Hortelã Closeup Triple 70g
Desodorante Rexona Feminino Active Emotion 150ml,15.99,14.99,,,https://americanas.vtexassets.com/arquivos/ids/472604/127839444_1SZ.jpg?v=638864546833670000,Desodorante Rexona Feminino Active Emotion 150ml
Desodorante Rexona Masculino Invisible 150ml,15.99,14.99,,,https://americanas.vtexassets.com/arquivos/ids/477568/127839401_1SZ.jpg?v=638863664930070000,Desodorante Rexona Masculino Invisible 150ml
Desodorante Aerosol Dove Go Fresh Pêra e Aloe Vera - 150ml,17.99,16.99,,,https://americanas.vtexassets.com/arquivos/ids/489025/176530857_1SZ.jpg?v=638834585358430000,Desodorante Aerosol Dove Go Fresh Pêra e Aloe Vera - 150ml
Desodorante em Gel Proteção e Cuidado Algodão 45g Secret 48h Invisível,25.99,23.99,,,https://americanas.vtexassets.com/arquivos/ids/36946203/product-variants-4318363-1.jpg?v=639015131792330000,Desodorante em Gel Proteção e Cuidado Algodão 45g Secret 48h Invisível
Chinelo Clássica Feminina Rosa Ipanema Nº 37/38,17.99,9.99,,,https://americanas.vtexassets.com/arquivos/ids/37307471/Novo Projeto -5-.jpg?v=639059981479000000,Chinelo Clássica Feminina Rosa Ipanema Nº 37/38
Achocolatado em Pó Chocolate Nescau Nestlé 350g,15.99,,,,https://americanas.vtexassets.com/arquivos/ids/36946257/product-variants-4319774.png?v=638987506309470000,Achocolatado em Pó Chocolate Nescau Nestlé 350g com Vitaminas e Minerais
"Amaciante Seiva de Alfazema Downy 1,5L Concentrado",33.99,,,,https://americanas.vtexassets.com/arquivos/ids/36946325/product-variants-4321408.jpg?v=638987508953600000,"Amaciante Seiva de Alfazema Downy 1,5L Concentrado Perfume Duradouro"
"Amaciante Frescor de Primavera Downy Concentrado 1,5L",34.49,,,,https://americanas.vtexassets.com/arquivos/ids/36913884/7500435153867_99_2_3000_300_RGB.jpg?v=638985477584630000,"Amaciante Frescor de Primavera Downy Concentrado 1,5L Até 66 Lavagens"
Absorvente Higiênico Tripla Proteção 42 Unidades Intimus Cobertura Seca,28.99,,,,https://americanas.vtexassets.com/arquivos/ids/36946139/product-variants-4321701.png?v=638987502163430000,Absorvente Higiênico Tripla Proteção 42 Unidades Intimus Cobertura Seca
Tapete de Banheiro Remix Popcorn Sortido Camesa Antiderrapante,15.99,,,,https://americanas.vtexassets.com/arquivos/ids/37017819/product-variants-2167832.jpg?v=638998591717970000,Tapete de Banheiro Remix Popcorn Sortido Camesa Antiderrapante
Biscoito Wafer Mini Chocolate Passatempo Nestlé 20g Crocante,15.99,,,,https://americanas.vtexassets.com/arquivos/ids/37170499/product-variants-2Fdraft-252F459751ff-1da8-4fd6-bb48-d4a2f8268d09-252F1765909875031_TESTE-252F4226908-252F4226908.jpg?v=639021157412500000,Biscoito Wafer Mini Chocolate Passatempo Nestlé 20g Crocante
Biscoito de Polvilho Salsa e Cebola Vale Douro 100g Sem Glúten,5.99,,,,https://americanas.vtexassets.com/arquivos/ids/37170444/product-variants-2Fdraft-252F22c769d6-598e-40f1-bc3f-58e144b50fac-252F1765909874835_TESTE-252F4097996-252F4097996.jpg?v=639021147194070000,Biscoito de Polvilho Salsa e Cebola Vale Douro 100g Sem Glúten
Ar Condicionado Split LG Dual Inverter AI Voice 18000 BTU/h Frio S3-Q18KL31C - 220 Volts,5430.46,3177.33,,,https://americanas.vtexassets.com/arquivos/ids/37350674/Ar-Condicionado-Split-LG-Dual-Inverter-AI-Voice-18000-BTU-h-Frio-S3-Q18KL31C---220-Volts.jpg?v=639094368815270000,Ar Condicionado Split LG Dual Inverter AI Voice 18000 BTU/h Frio S3-Q18KL31C - 220 Volts
